"site","site_type","site_id","variable_name","summary","voc_name","mw","category_1","category_2","category_1no","category_2no"
"28th & Passyunk","stationary",4,"hexane2methyl","0.47 (0.66)","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3
"28th & Passyunk","stationary",4,"butane_2_methyl","0.20 (0.07)","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3
"28th & Passyunk","stationary",4,"pentane_2_methyl","3.74 (2.31)","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3
"28th & Passyunk","stationary",4,"pentane_3_methyl","1.55 (1.00)","3-Methylpentane",86.178,"Alkanes","Branched Alkanes",3,3
"28th & Passyunk","stationary",4,"pentane_2_4_dimethyl","0.21 (0.27)","2,4-Dimethylpentane",100.205,"Alkanes","Branched Alkanes",3,3
"28th & Passyunk","stationary",4,"pentane_2_3_4_trimethyl","0.23 (0.37)","2,3,4-Trimethylpentane",114.232,"Alkanes","Branched Alkanes",3,3
"28th & Passyunk","stationary",4,"hexane_3_methyl","1.12 (1.64)","3-Methylhexane",100.205,"Alkanes","Branched Alkanes",5,3
"28th & Passyunk","stationary",4,"heptane","0.44 (0.59)","Heptane",100.21,"Alkanes","C6-C9 Alkanes",3,4
"28th & Passyunk","stationary",4,"hexane","0.63 (0.74)","n-Hexane",86.18,"Alkanes","C6-C9 Alkanes",3,4
"28th & Passyunk","stationary",4,"nonane","0.18 (0.22)","Nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
"28th & Passyunk","stationary",4,"octane","0.15 (0.19)","Octane",114.23,"Alkanes","C6-C9 Alkanes",3,4
"28th & Passyunk","stationary",4,"decane","0.18 (0.17)","Decane",149.29,"Alkanes","C10-C12 Alkanes",3,5
"28th & Passyunk","stationary",4,"dodecane","0.12 (0.12)","Dodecane",170.34,"Alkanes","C10-C12 Alkanes",3,5
"28th & Passyunk","stationary",4,"undecane","0.24 (0.20)","Undecane",156.31,"Alkanes","C10-C12 Alkanes",3,5
"28th & Passyunk","stationary",4,"cyclohexane_methyl","1.52 (1.05)","Methylcyclohexane",98.189,"Cyclohexanes","Cyclohexanes",4,6
"28th & Passyunk","stationary",4,"x2_pentene_z_cis","0.02 (0.03)","cis-2-Pentene",70.1329,"Alkenes","Alkenes",5,7
"28th & Passyunk","stationary",4,"x1_3_butadiene_2_methyl","0.00 (0.02)","Isoprene",68.12,"Alkenes","Alkenes",5,7
"28th & Passyunk","stationary",4,"x1_hexene","0.10 (0.14)","1-Hexene",84.162,"Alkenes","Alkenes",5,7
"28th & Passyunk","stationary",4,"methyl_isobutyl_ketone","0.00 (0.01)","Methyl isobutyl ketone",100.16,"Ketones","Ketones",6,8
"28th & Passyunk","stationary",4,"x2_hexanone","0.00 (0.00)","2-Hexanone",100.161,"Ketones","Ketones",6,8
"28th & Passyunk","stationary",4,"benz12chloro","0.01 (0.01)","1,2-dichlorobenzene",147.01,"Benzene Derivatives","Chlorinated Compounds",2,9
"28th & Passyunk","stationary",4,"tce","0.02 (0.01)","Tetrachloroethylene",165.83,"Chlorinated Compounds","Chlorinated Compounds",7,9
"28th & Passyunk","stationary",4,"trichlorofluoromethane","0.11 (0.10)","Trichloromonofluoromethane",137.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"28th & Passyunk","stationary",4,"trichloromethane","0.03 (0.02)","Chloroform",119.37,"Chlorinated Compounds","Chlorinated Compounds",7,9
"28th & Passyunk","stationary",4,"carbon_tetrachloride","0.26 (0.16)","Carbon tetrachloride",153.81,"Chlorinated Compounds","Chlorinated Compounds",7,9
"28th & Point Breeze","stationary",5,"benzene","0.34 (0.26)","Benzene",78.11,"BTEX","BTEX",1,1
"28th & Point Breeze","stationary",5,"toluene","0.46 (0.35)","Toluene",92.14,"BTEX","BTEX",1,1
"28th & Point Breeze","stationary",5,"etbenz","0.11 (0.07)","Ethylbenzene",106.17,"BTEX","BTEX",1,1
"28th & Point Breeze","stationary",5,"xylenes","0.89 (0.58)","Xylenes",106.16,"BTEX","BTEX",1,1
"28th & Point Breeze","stationary",5,"mpxylene","0.74 (0.50)","m,p-Xylene 2",106.16,"BTEX","BTEX",1,1
"28th & Point Breeze","stationary",5,"oxylene","0.16 (0.09)","o-Xylene",106.16,"BTEX","BTEX",1,1
"28th & Point Breeze","stationary",5,"benz1ethyl2methyl","0.03 (0.01)","1-ethyl-2-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Point Breeze","stationary",5,"benz1ethyl3methyl","0.07 (0.04)","1-ethyl-3-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Point Breeze","stationary",5,"benz1ethyl4methyl","0.03 (0.02)","1-ethyl-4-methyl-benzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Point Breeze","stationary",5,"propylbenzene","0.04 (0.02)","Propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Point Breeze","stationary",5,"mesitylene","0.08 (0.04)","Mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Point Breeze","stationary",5,"benzene_1_2_3_trimethyl","0.03 (0.02)","1,2,3-Trimethylbenzene",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Point Breeze","stationary",5,"benzene_1_4_diethyl","0.02 (0.02)","1,4-Diethylbenzene",134.221,"Benzene Derivatives","Alkylbenzenes",2,2
"28th & Point Breeze","stationary",5,"heptane3methyl","0.16 (0.09)","3-methyl-heptane",114.23,"Alkanes","Branched Alkanes",3,3
"28th & Point Breeze","stationary",5,"hexane2methyl","0.15 (0.13)","2-methyl-hexane",100.2,"Alkanes","Branched Alkanes",3,3
"28th & Point Breeze","stationary",5,"butane_2_methyl","0.14 (0.10)","Isopentane",72.151,"Alkanes","Branched Alkanes",3,3
"28th & Point Breeze","stationary",5,"pentane_2_methyl","1.42 (1.35)","Isohexane",86.178,"Alkanes","Branched Alkanes",3,3
"28th & Point Breeze","stationary",5,"pentane_3_methyl","0.54 (0.46)","3-Methylpentane",86.178,"Alkanes","Branched Alkanes",3,3
"28th & Point Breeze","stationary",5,"pentane_2_4_dimethyl","0.08 (0.04)","2,4-Dimethylpentane",100.205,"Alkanes","Branched Alkanes",3,3
"28th & Point Breeze","stationary",5,"pentane_2_3_4_trimethyl","0.11 (0.06)","2,3,4-Trimethylpentane",114.232,"Alkanes","Branched Alkanes",3,3
"28th & Point Breeze","stationary",5,"hexane_3_methyl","0.37 (0.28)","3-Methylhexane",100.205,"Alkanes","Branched Alkanes",5,3
"28th & Point Breeze","stationary",5,"heptane","0.19 (0.13)","Heptane",100.21,"Alkanes","C6-C9 Alkanes",3,4
"28th & Point Breeze","stationary",5,"hexane","0.25 (0.30)","n-Hexane",86.18,"Alkanes","C6-C9 Alkanes",3,4
"28th & Point Breeze","stationary",5,"nonane","0.09 (0.11)","Nonane",128.25,"Alkanes","C6-C9 Alkanes",3,4
