"site","total","sum","Alkenes","Alkylbenzenes","BTEX","Branched Alkanes","C10-C12 Alkanes","C6-C9 Alkanes","Chlorinated Compounds","Cyclohexanes","Ketones"
"Snyder & Vare",36.217999999999996,1.6369999999999998,NA,NA,NA,NA,4.5198520072891935,NA,NA,NA,NA
"Snyder & Vare",36.217999999999996,3.589,NA,NA,NA,NA,NA,9.90943729637197,NA,NA,NA
"Snyder & Vare",36.217999999999996,1.7440000000000002,NA,NA,NA,NA,NA,NA,4.815285217295269,NA,NA
"Snyder & Vare",36.217999999999996,2.888,NA,NA,NA,NA,NA,NA,NA,7.973935612126568,NA
"Snyder & Vare",36.217999999999996,0.045,NA,NA,NA,NA,NA,NA,NA,NA,0.12424761168479763
"Universal Charter School at Vare",36.867999999999995,0.316,0.8571118585222959,NA,NA,NA,NA,NA,NA,NA,NA
"Universal Charter School at Vare",36.867999999999995,1.2289999999999999,NA,3.3335141586199417,NA,NA,NA,NA,NA,NA,NA
"Universal Charter School at Vare",36.867999999999995,13.174,NA,NA,35.73288488662255,NA,NA,NA,NA,NA,NA
"Universal Charter School at Vare",36.867999999999995,14.975,NA,NA,NA,40.61788000433981,NA,NA,NA,NA,NA
"Universal Charter School at Vare",36.867999999999995,0.5890000000000002,NA,NA,NA,NA,1.5975914071823811,NA,NA,NA,NA
"Universal Charter School at Vare",36.867999999999995,2.7520000000000002,NA,NA,NA,NA,NA,7.464467831181515,NA,NA,NA
"Universal Charter School at Vare",36.867999999999995,2.367,NA,NA,NA,NA,NA,NA,6.420201801019855,NA,NA
"Universal Charter School at Vare",36.867999999999995,1.458,NA,NA,NA,NA,NA,NA,NA,3.954649018118694,NA
"Universal Charter School at Vare",36.867999999999995,0.008,NA,NA,NA,NA,NA,NA,NA,NA,0.021699034392969517
"Vare & New Hope",30.078000000000003,0.314,1.0439523904514927,NA,NA,NA,NA,NA,NA,NA,NA
"Vare & New Hope",30.078000000000003,0.9150000000000004,NA,3.0420905645322174,NA,NA,NA,NA,NA,NA,NA
"Vare & New Hope",30.078000000000003,10.710999999999999,NA,NA,35.610745395305536,NA,NA,NA,NA,NA,NA
"Vare & New Hope",30.078000000000003,11.891000000000004,NA,NA,NA,39.53387858235256,NA,NA,NA,NA,NA
"Vare & New Hope",30.078000000000003,0.443,NA,NA,NA,NA,1.4728372897134117,NA,NA,NA,NA
"Vare & New Hope",30.078000000000003,2.3510000000000004,NA,NA,NA,NA,NA,7.816344171819936,NA,NA,NA
"Vare & New Hope",30.078000000000003,2.282,NA,NA,NA,NA,NA,NA,7.58694062105193,NA,NA
"Vare & New Hope",30.078000000000003,1.154,NA,NA,NA,NA,NA,NA,NA,3.8366912693663138,NA
"Vare & New Hope",30.078000000000003,0.017,NA,NA,NA,NA,NA,NA,NA,NA,0.05651971540660948
"Wharton Park",33.012,0.30400000000000005,0.9208772567551196,NA,NA,NA,NA,NA,NA,NA,NA
"Wharton Park",33.012,1.342,NA,4.065188416333455,NA,NA,NA,NA,NA,NA,NA
"Wharton Park",33.012,11.817,NA,NA,35.79607415485278,NA,NA,NA,NA,NA,NA
"Wharton Park",33.012,11.857000000000001,NA,NA,NA,35.91724221495214,NA,NA,NA,NA,NA
"Wharton Park",33.012,0.8980000000000002,NA,NA,NA,NA,2.7202229492305836,NA,NA,NA,NA
"Wharton Park",33.012,2.7129999999999996,NA,NA,NA,NA,NA,8.218223676238942,NA,NA,NA
"Wharton Park",33.012,2.857,NA,NA,NA,NA,NA,NA,8.654428692596634,NA,NA
"Wharton Park",33.012,1.203,NA,NA,NA,NA,NA,NA,NA,3.6441294074881863,NA
"Wharton Park",33.012,0.021000000000000005,NA,NA,NA,NA,NA,NA,NA,NA,0.06361323155216286
