variable_name,flag_type,count,percentage,n_perc,voc_name,mw,category_1,category_2,category_2no,sort_in_category
pentane_2_3_4_trimethyl,reg,347,76.9,347 (76.9%),"2,3,4-Trimethylpentane",114.232,Alkanes,Other Alkanes,5,8
pentane_2_3_4_trimethyl,ulod,3,0.7,3 (0.7%),"2,3,4-Trimethylpentane",114.232,Alkanes,Other Alkanes,5,8
cyclohexane_methyl,nd,2,0.4,2 (0.4%),Methylcyclohexane,98.189,Cyclohexanes,Other Alkanes,5,9
cyclohexane_methyl,lod,6,1.3,6 (1.3%),Methylcyclohexane,98.189,Cyclohexanes,Other Alkanes,5,9
cyclohexane_methyl,reg,416,92.2,416 (92.2%),Methylcyclohexane,98.189,Cyclohexanes,Other Alkanes,5,9
cyclohexane_methyl,ulod,27,6,27 (6%),Methylcyclohexane,98.189,Cyclohexanes,Other Alkanes,5,9
x1_hexene,nd,53,11.8,53 (11.8%),1-Hexene,84.162,Alkenes,Alkenes,6,1
x1_hexene,lod,15,3.3,15 (3.3%),1-Hexene,84.162,Alkenes,Alkenes,6,1
x1_hexene,reg,383,84.9,383 (84.9%),1-Hexene,84.162,Alkenes,Alkenes,6,1
x1_hexene,ulod,0,0,0 (0%),1-Hexene,84.162,Alkenes,Alkenes,6,1
x2_pentene_z_cis,nd,86,19.1,86 (19.1%),cis-2-Pentene,70.1329,Alkenes,Alkenes,6,2
x2_pentene_z_cis,lod,142,31.5,142 (31.5%),cis-2-Pentene,70.1329,Alkenes,Alkenes,6,2
x2_pentene_z_cis,reg,223,49.4,223 (49.4%),cis-2-Pentene,70.1329,Alkenes,Alkenes,6,2
x2_pentene_z_cis,ulod,0,0,0 (0%),cis-2-Pentene,70.1329,Alkenes,Alkenes,6,2
x1_3_butadiene_2_methyl,nd,213,47.2,213 (47.2%),Isoprene,68.12,Alkenes,Alkenes,6,3
x1_3_butadiene_2_methyl,lod,47,10.4,47 (10.4%),Isoprene,68.12,Alkenes,Alkenes,6,3
x1_3_butadiene_2_methyl,reg,191,42.4,191 (42.4%),Isoprene,68.12,Alkenes,Alkenes,6,3
x1_3_butadiene_2_methyl,ulod,0,0,0 (0%),Isoprene,68.12,Alkenes,Alkenes,6,3
x2_hexanone,nd,429,95.1,429 (95.1%),2-Hexanone,100.161,Ketones,Ketones,7,1
x2_hexanone,lod,0,0,0 (0%),2-Hexanone,100.161,Ketones,Ketones,7,1
x2_hexanone,reg,22,4.9,22 (4.9%),2-Hexanone,100.161,Ketones,Ketones,7,1
x2_hexanone,ulod,0,0,0 (0%),2-Hexanone,100.161,Ketones,Ketones,7,1
methyl_isobutyl_ketone,nd,267,59.2,267 (59.2%),Methyl isobutyl ketone,100.16,Ketones,Ketones,7,2
methyl_isobutyl_ketone,lod,0,0,0 (0%),Methyl isobutyl ketone,100.16,Ketones,Ketones,7,2
methyl_isobutyl_ketone,reg,184,40.8,184 (40.8%),Methyl isobutyl ketone,100.16,Ketones,Ketones,7,2
methyl_isobutyl_ketone,ulod,0,0,0 (0%),Methyl isobutyl ketone,100.16,Ketones,Ketones,7,2
trichloromethane,nd,11,2.4,11 (2.4%),Chloroform,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
trichloromethane,lod,0,0,0 (0%),Chloroform,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
trichloromethane,reg,440,97.6,440 (97.6%),Chloroform,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
trichloromethane,ulod,0,0,0 (0%),Chloroform,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
