"site","site_type","site_id","variable_name","summary","voc_name","variable_name_old","mw","category_1","category_2","category_2no","sort_in_category"
"61st & Passyunk","stationary",3,"ethylbenzene","0.8 [0.6, 1.3]","Ethylbenzene","etbenz",106.17,"BTEX","BTEX",1,3
"61st & Passyunk","stationary",3,"m_p_xylene_2","5.4 [4.2, 8.7]","(m+p)-Xylenes","mpxylene",106.16,"BTEX","BTEX",1,4
"61st & Passyunk","stationary",3,"o_xylene","1.2 [1.0, 1.8]","o-Xylene","oxylene",106.16,"BTEX","BTEX",1,5
"61st & Passyunk","stationary",3,"xylenes","6.5 [5.2, 10.5]","Total Xylenes","xylenes",106.16,"BTEX","BTEX",1,6
"61st & Passyunk","stationary",3,"benzene_1_4_diethyl","0.2 [0.1, 0.2]","1,4-Diethylbenzene","benzene_1_4_diethyl",134.221,"Benzene Derivatives","Alkylbenzenes",2,1
"61st & Passyunk","stationary",3,"benzene_1_2_3_trimethyl","0.3 [0.2, 0.3]","1,2,3-Trimethylbenzene","benzene_1_2_3_trimethyl",120.194,"Benzene Derivatives","Alkylbenzenes",2,2
"61st & Passyunk","stationary",3,"benzene_1_ethyl_2_methyl","0.2 [0.2, 0.3]","1-Ethyl-2-Methylbenzene","benz1ethyl2methyl",120.19,"Benzene Derivatives","Alkylbenzenes",2,3
"61st & Passyunk","stationary",3,"benzene_1_ethyl_3_methyl","0.5 [0.4, 0.8]","1-Ethyl-3-Methylbenzene","benz1ethyl3methyl",120.19,"Benzene Derivatives","Alkylbenzenes",2,4
"61st & Passyunk","stationary",3,"benzene_1_ethyl_4_methyl","0.2 [0.2, 0.4]","1-Ethyl-4-Methylbenzene","benz1ethyl4methyl",120.19,"Benzene Derivatives","Alkylbenzenes",2,5
"61st & Passyunk","stationary",3,"benzene_propyl","0.3 [0.2, 0.4]","Propylbenzene","propylbenzene",120.19,"Benzene Derivatives","Alkylbenzenes",2,6
"61st & Passyunk","stationary",3,"mesitylene","0.6 [0.5, 0.9]","Mesitylene","mesitylene",120.19,"Benzene Derivatives","Alkylbenzenes",2,7
"61st & Passyunk","stationary",3,"n_hexane","1.8 [0.9, 2.9]","n-Hexane","hexane",86.18,"Alkanes","C6-C9 Alkanes",3,1
"61st & Passyunk","stationary",3,"heptane","1.2 [0.8, 1.8]","Heptane","heptane",100.21,"Alkanes","C6-C9 Alkanes",3,2
"61st & Passyunk","stationary",3,"octane","0.5 [0.3, 0.6]","Octane","octane",114.23,"Alkanes","C6-C9 Alkanes",3,3
