variable_name,flag_type,count,percentage,n_perc,voc_name,variable_name_old,mw,category_1,category_2,category_2no,sort_in_category
x1_3_butadiene_2_methyl,lod,48,10.6,48 (10.6%),Isoprene,x1_3_butadiene_2_methyl,68.12,Alkenes,Alkenes,6,3
x1_3_butadiene_2_methyl,reg,190,41.9,190 (41.9%),Isoprene,x1_3_butadiene_2_methyl,68.12,Alkenes,Alkenes,6,3
x1_3_butadiene_2_methyl,ulod,0,0,0 (0%),Isoprene,x1_3_butadiene_2_methyl,68.12,Alkenes,Alkenes,6,3
x2_hexanone,nd,432,95.2,432 (95.2%),2-Hexanone,x2_hexanone,100.161,Ketones,Ketones,7,1
x2_hexanone,lod,0,0,0 (0%),2-Hexanone,x2_hexanone,100.161,Ketones,Ketones,7,1
x2_hexanone,reg,22,4.8,22 (4.8%),2-Hexanone,x2_hexanone,100.161,Ketones,Ketones,7,1
x2_hexanone,ulod,0,0,0 (0%),2-Hexanone,x2_hexanone,100.161,Ketones,Ketones,7,1
methyl_isobutyl_ketone,nd,266,58.6,266 (58.6%),Methyl isobutyl ketone,methyl_isobutyl_ketone,100.16,Ketones,Ketones,7,2
methyl_isobutyl_ketone,lod,0,0,0 (0%),Methyl isobutyl ketone,methyl_isobutyl_ketone,100.16,Ketones,Ketones,7,2
methyl_isobutyl_ketone,reg,188,41.4,188 (41.4%),Methyl isobutyl ketone,methyl_isobutyl_ketone,100.16,Ketones,Ketones,7,2
methyl_isobutyl_ketone,ulod,0,0,0 (0%),Methyl isobutyl ketone,methyl_isobutyl_ketone,100.16,Ketones,Ketones,7,2
trichloromethane,nd,9,2,9 (2%),Chloroform,trichloromethane,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
trichloromethane,lod,0,0,0 (0%),Chloroform,trichloromethane,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
trichloromethane,reg,445,98,445 (98%),Chloroform,trichloromethane,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
trichloromethane,ulod,0,0,0 (0%),Chloroform,trichloromethane,119.37,Chlorinated Compounds,Chlorinated Compounds,8,1
carbon_tetrachloride,nd,4,0.9,4 (0.9%),Carbon tetrachloride,carbon_tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
carbon_tetrachloride,lod,1,0.2,1 (0.2%),Carbon tetrachloride,carbon_tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
carbon_tetrachloride,reg,449,98.9,449 (98.9%),Carbon tetrachloride,carbon_tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
carbon_tetrachloride,ulod,0,0,0 (0%),Carbon tetrachloride,carbon_tetrachloride,153.81,Chlorinated Compounds,Chlorinated Compounds,8,2
tetrachloroethylene,nd,3,0.7,3 (0.7%),Tetrachloroethylene,tce,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
tetrachloroethylene,lod,0,0,0 (0%),Tetrachloroethylene,tce,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
tetrachloroethylene,reg,451,99.3,451 (99.3%),Tetrachloroethylene,tce,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
tetrachloroethylene,ulod,0,0,0 (0%),Tetrachloroethylene,tce,165.83,Chlorinated Compounds,Chlorinated Compounds,8,3
trichloromonofluoromethane,nd,2,0.4,2 (0.4%),Trichlorofluoromethane,trichlorofluoromethane,137.37,Chlorinated Compounds,Chlorinated Compounds,8,4
trichloromonofluoromethane,lod,0,0,0 (0%),Trichlorofluoromethane,trichlorofluoromethane,137.37,Chlorinated Compounds,Chlorinated Compounds,8,4
trichloromonofluoromethane,reg,452,99.6,452 (99.6%),Trichlorofluoromethane,trichlorofluoromethane,137.37,Chlorinated Compounds,Chlorinated Compounds,8,4
trichloromonofluoromethane,ulod,0,0,0 (0%),Trichlorofluoromethane,trichlorofluoromethane,137.37,Chlorinated Compounds,Chlorinated Compounds,8,4
benzene_1_2_dichloro,nd,20,4.4,20 (4.4%),"1,2-dichlorobenzene",benz12chloro,147.01,Benzene Derivatives,Chlorinated Compounds,8,5
benzene_1_2_dichloro,lod,254,55.9,254 (55.9%),"1,2-dichlorobenzene",benz12chloro,147.01,Benzene Derivatives,Chlorinated Compounds,8,5
benzene_1_2_dichloro,reg,180,39.6,180 (39.6%),"1,2-dichlorobenzene",benz12chloro,147.01,Benzene Derivatives,Chlorinated Compounds,8,5
benzene_1_2_dichloro,ulod,0,0,0 (0%),"1,2-dichlorobenzene",benz12chloro,147.01,Benzene Derivatives,Chlorinated Compounds,8,5
